quest_id,venue_id,partner_id,slug,title,description,category,difficulty,xp_reward,points_reward,estimated_time,quest_objective,action_prompt,hero_image_url,website_url,reviews_url,reviews_source,socials_url,socials_source,qr_code,qr_destination_url,status
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,062ce6b7-f9df-5c53-b7b0-de16fcc22eb8,b7a5c65e-0674-54c8-9e2f-c17fe6402861,panther-coffee-wynwood,The Wynwood Original,"Joel and Leticia Pollock opened this flagship in 2010, long before the murals made Wynwood world-famous. Miami's local coffee scene grew up right here — come see where it started.",food,easy,50,25,5–10 min,"Step inside Panther's Wynwood flagship, find the panther wherever it appears, and snap a photo with it.",Give your best (quiet) panther growl before your first sip or your final photo.,,https://panthercoffee.com/,https://www.google.com/search?q=Panther+Coffee+Wynwood+2390+NW+2nd+Ave+Miami+reviews,google,https://www.instagram.com/panthercoffee/,other,PANTHER-COFFEE-WYNWOOD,/q/1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,active
966b0064-6c61-58b2-8e49-73807184982d,4a76b5e7-7fc8-5485-90c4-403a796770c7,17fd3975-dc00-523d-be6e-6eee84d5714d,vice-city-bean-edgewater,Flagship of Vice City,"Tucked between Downtown and Wynwood in the Arts & Entertainment District, this is the flagship of a homegrown three-shop Miami coffee family. Blink on N Miami Ave and you'll miss it.",food,easy,50,25,5–10 min,Find Vice City Bean's flagship on N Miami Ave and claim the seat with the best people-watching.,Strike your most 'Vice City' pose for the camera — sunglasses optional but encouraged.,,https://vicecitybean.com/,https://www.google.com/search?q=Vice+City+Bean+1657+N+Miami+Ave+reviews,google,https://www.instagram.com/vicecitybean/,other,VICE-CITY-BEAN-EDGEWATER,/q/966b0064-6c61-58b2-8e49-73807184982d,active
21902b20-b34e-5308-9fdb-7868829a3497,1540d4fd-088d-5194-9463-47458122fca4,ec81a30a-4798-5e3f-ab15-130b8a9504d3,salty-donut-wynwood,"Donuts, Coffee, Vibes","The brand's own motto is 'donuts, coffee, vibes' — and the Wynwood shop is where Miami checks all three boxes. The lineup changes, which is exactly the fun of it.",food,easy,50,25,5–10 min,Find today's donut lineup and photograph the flavor you'd cross town for.,Rank your top three flavors out loud with whoever is next to you.,,https://www.saltydonut.com/locations/wynwood,https://www.google.com/search?q=The+Salty+Donut+Wynwood+50+NW+24th+St+Miami+reviews,google,https://www.instagram.com/thesaltydonut/,other,SALTY-DONUT-WYNWOOD,/q/21902b20-b34e-5308-9fdb-7868829a3497,active
75761f77-6be2-5a33-b815-582044bc20c8,88f4b8a6-e1c4-5417-97fb-a8511c54319f,38947068-093a-5074-8308-fb73e9368cb7,threefold-cafe-coral-gables,Down Under on Giralda,"Nick and Teresa brought Australian café culture to Coral Gables in 2014, and Giralda Avenue hasn't been the same since. Come find the Aussie accent hiding on a Spanish-named street.",food,easy,50,25,5–10 min,Find Threefold on Giralda Ave and spot one unmistakably Australian touch on the menu or in the room.,Say 'flat white' in your best Australian accent — ordering one is entirely optional.,,https://www.threefoldcafe.com/,https://www.google.com/search?q=Threefold+Cafe+141+Giralda+Ave+Coral+Gables+reviews,google,https://www.instagram.com/threefoldcafe/,other,THREEFOLD-CAFE-CORAL-GABLES,/q/75761f77-6be2-5a33-b815-582044bc20c8,active
8126cef6-7957-58f4-8dc1-c1cf747fcc8e,628b1edc-8119-5196-9d22-4465d7b944c6,f1b3973c-4035-58cb-a3b2-6a1326842801,imperial-moto-little-river,Full Throttle Coffee,"Imperial Moto's headquarters sits in Little River — not Wynwood, as many assume — and it's the flagship of a café brand that has ridden all the way to Aventura and St. Barths. Motorcycles and espresso, together at last.",food,easy,50,25,5–10 min,Find Imperial Moto's Little River headquarters and photograph the most motorcycle thing you can find.,Do a subtle engine rev with your wrist as you walk in. Vroom responsibly.,,https://www.imperialmoto.com/,https://www.google.com/search?q=Imperial+Moto+Cafe+7299+NW+2nd+Ave+Miami+reviews,google,https://www.instagram.com/imperialmoto/,other,IMPERIAL-MOTO-LITTLE-RIVER,/q/8126cef6-7957-58f4-8dc1-c1cf747fcc8e,active
8e77ef26-b4ac-574b-9b46-06a276d7577e,3d6e479e-6ef9-5cfd-bbc8-021de95e8ff5,2f64ad78-af59-54c1-897e-9ae076b0fbeb,brewing-buddha-pinecrest,The Buddha's Gallery,"Brothers Jordan and Cassidy Athos opened this café-meets-arthouse in Pinecrest in 2017. Half the room runs on caffeine, the other half on creativity — explore both.",food,easy,50,25,5–10 min,Explore the arthouse side of the café and photograph the artwork that speaks to you most.,Hold a ten-second zen pose in front of your favorite piece.,,https://www.brewingbuddha.com/,https://www.google.com/search?q=Brewing+Buddha+Cafe+8219+SW+124th+St+Pinecrest+reviews,google,https://www.instagram.com/brewingbuddha/,other,BREWING-BUDDHA-PINECREST,/q/8e77ef26-b4ac-574b-9b46-06a276d7577e,active
8569454a-0457-5805-8b85-997b42155ed2,8b802b8f-454c-59e7-8397-8e52b8028121,8b5e8dfd-4d3a-5e78-b0db-a018c6ba2068,sweat-records-little-haiti,Crate Digger,"Lolo Reskin opened Sweat Records in 2005, and twenty years later it's still Miami's independent record store — right next to Churchill's Pub. Digging is the whole point: your next favorite album is in here somewhere.",culture,medium,150,75,10–15 min,Dig through the crates and find one record older than Sweat Records itself (2005). Photograph your find.,Air-drum one chorus of whatever record you found. Full commitment.,,https://www.sweatrecordsmiami.com/,https://www.google.com/search?q=Sweat+Records+5505+NE+2nd+Ave+Miami+reviews,google,https://www.instagram.com/sweatrecords/,other,SWEAT-RECORDS-LITTLE-HAITI,/q/8569454a-0457-5805-8b85-997b42155ed2,active
7dd057e2-0f2d-5315-8ec9-57bb715c0773,3a4cc420-5ef9-5972-87f2-0b19eb5bea6b,410e40e4-eaec-57a2-948f-5a54e18284f0,books-and-books-coral-gables,Shelf Discovery,Miami's iconic independent bookstore has anchored Coral Gables since 1982. Algorithms recommend what you already like — these shelves recommend what you didn't know existed.,culture,medium,150,75,10–15 min,Wander the flagship's shelves and find one book you'd never have discovered online. Photograph the cover where you found it.,Read your find's first sentence out loud to whoever came with you.,,https://www.booksandbooks.com/,https://www.google.com/search?q=Books+%26+Books+265+Aragon+Ave+Coral+Gables+reviews,google,https://www.instagram.com/booksandbooks/,other,BOOKS-AND-BOOKS-CORAL-GABLES,/q/7dd057e2-0f2d-5315-8ec9-57bb715c0773,active
3cef83c3-7d8d-5f7b-b122-7af4a8e08b6f,7a0964cc-7ec6-5a79-b2e8-45474df501c2,013760c2-e7bc-5bc6-8226-a0887e82c453,rosetta-bakery-south-beach,La Dolce Collins,"An Italian bakery holding its corner of Collins Avenue since 2015, steps from Lincoln Road. The pastry case is the exhibit; admission is free.",food,easy,50,25,5–10 min,Study the pastry counter and photograph the most Italian thing in the case.,Whisper 'che bello' at the pastry case like you truly mean it.,,https://www.rosettabakery.com/,https://www.google.com/search?q=Rosetta+Bakery+1666+Collins+Ave+Miami+Beach+reviews,google,https://www.instagram.com/rosettabakery/,other,ROSETTA-BAKERY-SOUTH-BEACH,/q/3cef83c3-7d8d-5f7b-b122-7af4a8e08b6f,active
f8a566ab-ff32-5de0-ad1a-7230416f3f8b,61027ac0-fb14-523b-8d20-8443f246e97d,fed2dca2-9985-578d-bbda-5e2c59018af9,under-the-mango-tree-sofi,Mango State of Mind,"A little South of Fifth spot with a name that promises shade, sweetness, and no hurry whatsoever. Slow down to South Beach walking pace and find out what the name means to you.",food,easy,50,25,5–10 min,Find Under the Mango Tree just off Fifth Street and photograph whatever you think earned it the name.,Point at your photo subject and declare 'that's the mango tree' with total confidence.,,https://www.mangotreemiami.com/,https://www.google.com/maps/search/?api=1&query=Under+the+Mango+Tree+737+5th+St+Miami+Beach+FL,google,https://www.instagram.com/underthemangotreemiami/,other,UNDER-THE-MANGO-TREE-SOFI,/q/f8a566ab-ff32-5de0-ad1a-7230416f3f8b,active
