quest_id,venue_name,asset_type,candidate_image_url,source_url,source_type,rights_status,confidence,notes,approved
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,Panther Coffee - Wynwood,hero_image,,https://panthercoffee.com/,official_website,venue_owned_needs_permission,high,"Pick an authentic photo from the venue's own site (check for a press/media page first). Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,Panther Coffee - Wynwood,hero_image,,https://www.instagram.com/panthercoffee/,official_instagram,venue_owned_needs_permission,high,"Venue's official Instagram — ask the venue for the original file, do not screenshot. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,Panther Coffee - Wynwood,hero_image,,https://unsplash.com/s/photos/Panther%20Coffee%20-%20Wynwood%20miami,royalty_free,license_review_required,low,"Fallback only if no venue-owned option works. Also try Pexels/Wikimedia Commons. Verify the individual photo's license allows commercial use before approving. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,Panther Coffee - Wynwood,venue_logo,,https://panthercoffee.com/,official_website,venue_owned_needs_permission,high,Look for the site's logo/brand or press/media page; ask the venue for the original file. Spec: square business logo/avatar for the circular profile image over the hero.,
1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,Panther Coffee - Wynwood,venue_logo,,https://www.instagram.com/panthercoffee/,official_instagram,venue_owned_needs_permission,high,"Profile picture is usually the logo — ask the venue for the original file, do not screenshot. Spec: square business logo/avatar for the circular profile image over the hero.",
966b0064-6c61-58b2-8e49-73807184982d,Vice City Bean,hero_image,,https://vicecitybean.com/,official_website,venue_owned_needs_permission,high,"Pick an authentic photo from the venue's own site (check for a press/media page first). Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
966b0064-6c61-58b2-8e49-73807184982d,Vice City Bean,hero_image,,https://www.instagram.com/vicecitybean/,official_instagram,venue_owned_needs_permission,high,"Venue's official Instagram — ask the venue for the original file, do not screenshot. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
966b0064-6c61-58b2-8e49-73807184982d,Vice City Bean,hero_image,,https://unsplash.com/s/photos/Vice%20City%20Bean%20miami,royalty_free,license_review_required,low,"Fallback only if no venue-owned option works. Also try Pexels/Wikimedia Commons. Verify the individual photo's license allows commercial use before approving. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
966b0064-6c61-58b2-8e49-73807184982d,Vice City Bean,venue_logo,,https://vicecitybean.com/,official_website,venue_owned_needs_permission,high,Look for the site's logo/brand or press/media page; ask the venue for the original file. Spec: square business logo/avatar for the circular profile image over the hero.,
966b0064-6c61-58b2-8e49-73807184982d,Vice City Bean,venue_logo,,https://www.instagram.com/vicecitybean/,official_instagram,venue_owned_needs_permission,high,"Profile picture is usually the logo — ask the venue for the original file, do not screenshot. Spec: square business logo/avatar for the circular profile image over the hero.",
21902b20-b34e-5308-9fdb-7868829a3497,The Salty Donut - Wynwood,hero_image,,https://www.saltydonut.com/locations/wynwood,official_website,venue_owned_needs_permission,high,"Pick an authentic photo from the venue's own site (check for a press/media page first). Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
21902b20-b34e-5308-9fdb-7868829a3497,The Salty Donut - Wynwood,hero_image,,https://www.instagram.com/thesaltydonut/,official_instagram,venue_owned_needs_permission,high,"Venue's official Instagram — ask the venue for the original file, do not screenshot. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
21902b20-b34e-5308-9fdb-7868829a3497,The Salty Donut - Wynwood,hero_image,,https://unsplash.com/s/photos/The%20Salty%20Donut%20-%20Wynwood%20miami,royalty_free,license_review_required,low,"Fallback only if no venue-owned option works. Also try Pexels/Wikimedia Commons. Verify the individual photo's license allows commercial use before approving. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
21902b20-b34e-5308-9fdb-7868829a3497,The Salty Donut - Wynwood,venue_logo,,https://www.saltydonut.com/locations/wynwood,official_website,venue_owned_needs_permission,high,Look for the site's logo/brand or press/media page; ask the venue for the original file. Spec: square business logo/avatar for the circular profile image over the hero.,
21902b20-b34e-5308-9fdb-7868829a3497,The Salty Donut - Wynwood,venue_logo,,https://www.instagram.com/thesaltydonut/,official_instagram,venue_owned_needs_permission,high,"Profile picture is usually the logo — ask the venue for the original file, do not screenshot. Spec: square business logo/avatar for the circular profile image over the hero.",
75761f77-6be2-5a33-b815-582044bc20c8,Threefold Cafe,hero_image,,https://www.threefoldcafe.com/,official_website,venue_owned_needs_permission,high,"Pick an authentic photo from the venue's own site (check for a press/media page first). Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
75761f77-6be2-5a33-b815-582044bc20c8,Threefold Cafe,hero_image,,https://www.instagram.com/threefoldcafe/,official_instagram,venue_owned_needs_permission,high,"Venue's official Instagram — ask the venue for the original file, do not screenshot. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
75761f77-6be2-5a33-b815-582044bc20c8,Threefold Cafe,hero_image,,https://unsplash.com/s/photos/Threefold%20Cafe%20miami,royalty_free,license_review_required,low,"Fallback only if no venue-owned option works. Also try Pexels/Wikimedia Commons. Verify the individual photo's license allows commercial use before approving. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
75761f77-6be2-5a33-b815-582044bc20c8,Threefold Cafe,venue_logo,,https://www.threefoldcafe.com/,official_website,venue_owned_needs_permission,high,Look for the site's logo/brand or press/media page; ask the venue for the original file. Spec: square business logo/avatar for the circular profile image over the hero.,
75761f77-6be2-5a33-b815-582044bc20c8,Threefold Cafe,venue_logo,,https://www.instagram.com/threefoldcafe/,official_instagram,venue_owned_needs_permission,high,"Profile picture is usually the logo — ask the venue for the original file, do not screenshot. Spec: square business logo/avatar for the circular profile image over the hero.",
8126cef6-7957-58f4-8dc1-c1cf747fcc8e,Imperial Moto Cafe - Little River,hero_image,,https://www.imperialmoto.com/,official_website,venue_owned_needs_permission,high,"Pick an authentic photo from the venue's own site (check for a press/media page first). Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
8126cef6-7957-58f4-8dc1-c1cf747fcc8e,Imperial Moto Cafe - Little River,hero_image,,https://www.instagram.com/imperialmoto/,official_instagram,venue_owned_needs_permission,high,"Venue's official Instagram — ask the venue for the original file, do not screenshot. Spec: authentic venue/experience photo, ≥800px wide, no generic stock.",
