slug,import_decision,business_name,location_name,address,city,state,zip,neighborhood,latitude,longitude,hours,hours_note,quest_title,quest_description,quest_category,difficulty,xp_reward,points_reward,estimated_time,quest_objective,funky_action,hero_image_url,website_url,google_reviews_url,instagram_url,contact_email,business_status,verification_status,verification_sources,last_verified_date,notes
panther-coffee-wynwood,import,Panther Coffee,Panther Coffee - Wynwood,2390 NW 2nd Ave,Miami,FL,33127,Wynwood,25.79994,-80.199245,,,The Wynwood Original,"Joel and Leticia Pollock opened this flagship in 2010, long before the murals made Wynwood world-famous. Miami's local coffee scene grew up right here — come see where it started.",food,easy,50,25,5–10 min,"Step inside Panther's Wynwood flagship, find the panther wherever it appears, and snap a photo with it.",Give your best (quiet) panther growl before your first sip or your final photo.,,https://panthercoffee.com/,https://www.google.com/search?q=Panther+Coffee+Wynwood+2390+NW+2nd+Ave+Miami+reviews,https://www.instagram.com/panthercoffee/,info@panthercoffee.com,active,verified,"Official site panthercoffee.com + Yelp/Apple Maps listings, checked 2026-07-07",2026-07-07,"Decision maker: General Manager / Founder; Contact: info@panthercoffee.com. Founded 2010 by Joel and Leticia Pollock; Wynwood flagship confirmed active with recent reviews (Yelp updated June 2026). Panther Coffee also has other MIA-area locations (Miami Beach location shows CLOSED on Yelp, unrelated to Wynwood flagship)."
vice-city-bean-edgewater,import,Vice City Bean,Vice City Bean,"1657 N Miami Ave, Unit C",Miami,FL,33136,Edgewater,25.791406,-80.194302,,,Flagship of Vice City,"Tucked between Downtown and Wynwood in the Arts & Entertainment District, this is the flagship of a homegrown three-shop Miami coffee family. Blink on N Miami Ave and you'll miss it.",food,easy,50,25,5–10 min,Find Vice City Bean's flagship on N Miami Ave and claim the seat with the best people-watching.,Strike your most 'Vice City' pose for the camera — sunglasses optional but encouraged.,,https://vicecitybean.com/,https://www.google.com/search?q=Vice+City+Bean+1657+N+Miami+Ave+reviews,https://www.instagram.com/vicecitybean/,hello@vicecitybean.com,active,verified,"Official site vicecitybean.com + Yelp/Apple Maps listing, checked 2026-07-07",2026-07-07,"Decision maker: Owner; Contact: hello@vicecitybean.com. Input neighborhood 'Downtown/Edgewater' normalized to Edgewater; often described as the 'Arts & Entertainment District' between Downtown and Wynwood. Business operates 3 locations (this flagship, Brickell, and The Citadel food hall) - flagship confirmed active, Yelp updated April 2026."
salty-donut-wynwood,import,The Salty Donut,The Salty Donut - Wynwood,"50 NW 24th St, Unit 106",Miami,FL,33127,Wynwood,25.7994517,-80.1960754,,,"Donuts, Coffee, Vibes","The brand's own motto is 'donuts, coffee, vibes' — and the Wynwood shop is where Miami checks all three boxes. The lineup changes, which is exactly the fun of it.",food,easy,50,25,5–10 min,Find today's donut lineup and photograph the flavor you'd cross town for.,Rank your top three flavors out loud with whoever is next to you.,,https://www.saltydonut.com/locations/wynwood,https://www.google.com/search?q=The+Salty+Donut+Wynwood+50+NW+24th+St+Miami+reviews,https://www.instagram.com/thesaltydonut/,media@saltydonut.com,active,verified,"Official site saltydonut.com + Yelp listing, checked 2026-07-07",2026-07-07,"Decision maker: Marketing Director; Contact: media@saltydonut.com. Brand's parent site now uses 'THE SALTY' branding (saltydonut.com homepage says 'THE SALTY - DONUTS, COFFEE, VIBES') but Wynwood store still operates/is listed as 'The Salty Donut'; multiple other city locations exist. Yelp updated July 2026, confirmed active."
threefold-cafe-coral-gables,import,Threefold Cafe,Threefold Cafe,141 Giralda Ave,Coral Gables,FL,33134,Coral Gables,25.7514197,-80.257631,,,Down Under on Giralda,"Nick and Teresa brought Australian café culture to Coral Gables in 2014, and Giralda Avenue hasn't been the same since. Come find the Aussie accent hiding on a Spanish-named street.",food,easy,50,25,5–10 min,Find Threefold on Giralda Ave and spot one unmistakably Australian touch on the menu or in the room.,Say 'flat white' in your best Australian accent — ordering one is entirely optional.,,https://www.threefoldcafe.com/,https://www.google.com/search?q=Threefold+Cafe+141+Giralda+Ave+Coral+Gables+reviews,https://www.instagram.com/threefoldcafe/,info@threefoldcafe.com,active,verified,"Official site threefoldcafe.com + Yelp listing, checked 2026-07-07",2026-07-07,"Decision maker: Owner / Operator; Contact: info@threefoldcafe.com. Australian-inspired cafe opened 2014 by Nick and Teresa. Yelp updated July 2026, confirmed active. Coordinates not found via a reliable source (no Wikipedia/schema.org/map-embed match), left null rather than estimated."
imperial-moto-little-river,import,Imperial Moto,Imperial Moto Cafe - Little River,7299 NW 2nd Ave,Miami,FL,33150,Little River,25.8421983,-80.2005557,,,Full Throttle Coffee,"Imperial Moto's headquarters sits in Little River — not Wynwood, as many assume — and it's the flagship of a café brand that has ridden all the way to Aventura and St. Barths. Motorcycles and espresso, together at last.",food,easy,50,25,5–10 min,Find Imperial Moto's Little River headquarters and photograph the most motorcycle thing you can find.,Do a subtle engine rev with your wrist as you walk in. Vroom responsibly.,,https://www.imperialmoto.com/,https://www.google.com/search?q=Imperial+Moto+Cafe+7299+NW+2nd+Ave+Miami+reviews,https://www.instagram.com/imperialmoto/,hello@imperialmoto.com,active,verified,"Official site imperialmoto.com + Yelp listing, checked 2026-07-07; neighborhood corrected from input",2026-07-07,"Decision maker: Founder; Contact: hello@imperialmoto.com. CORRECTION: input listed neighborhood as 'Wynwood' but the flagship/headquarters location is in Little River, not Wynwood (confirmed via imperialmoto.com/pages/little-river and Yelp/Timeout listings). Brand has grown to ~4 locations (Little River HQ, Aventura Mall, Oakland Park, St. Barths). Yelp updated June 2026, confirmed active."
brewing-buddha-pinecrest,import,Brewing Buddha Cafe & Arthouse,Brewing Buddha Cafe & Arthouse,8219 SW 124th St,Pinecrest,FL,33156,Pinecrest,25.6554818,-80.3268453,,,The Buddha's Gallery,"Brothers Jordan and Cassidy Athos opened this café-meets-arthouse in Pinecrest in 2017. Half the room runs on caffeine, the other half on creativity — explore both.",food,easy,50,25,5–10 min,Explore the arthouse side of the café and photograph the artwork that speaks to you most.,Hold a ten-second zen pose in front of your favorite piece.,,https://www.brewingbuddha.com/,https://www.google.com/search?q=Brewing+Buddha+Cafe+8219+SW+124th+St+Pinecrest+reviews,https://www.instagram.com/brewingbuddha/,brewingbuddha@gmail.com,active,verified,"Official site brewingbuddha.com + Yelp/Miami New Times, checked 2026-07-07; municipality corrected to Pinecrest",2026-07-07,"Decision maker: Owner; Contact: brewingbuddha@gmail.com. Full legal/DBA name is 'Brewing Buddha Cafe & Arthouse'. Input neighborhood 'South Miami / Suburban' is close but the actual municipality is Pinecrest, FL (per Miami New Times and mailing address), not the separate city of South Miami. Owned by brothers Jordan and Cassidy Athos, opened 2017. Yelp updated May 2026, confirmed active."
sweat-records-little-haiti,import,Sweat Records,Sweat Records,5505 NE 2nd Ave,Miami,FL,33137,Little Haiti / Little River,25.8263434,-80.1917894,,,Crate Digger,"Lolo Reskin opened Sweat Records in 2005, and twenty years later it's still Miami's independent record store — right next to Churchill's Pub. Digging is the whole point: your next favorite album is in here somewhere.",culture,medium,150,75,10–15 min,Dig through the crates and find one record older than Sweat Records itself (2005). Photograph your find.,Air-drum one chorus of whatever record you found. Full commitment.,,https://www.sweatrecordsmiami.com/,https://www.google.com/search?q=Sweat+Records+5505+NE+2nd+Ave+Miami+reviews,https://www.instagram.com/sweatrecords/,info@sweatrecordsmiami.com,active,verified,"Official site sweatrecordsmiami.com + WLRN/Axios 20th-anniversary coverage (March 2025) + Apple Maps, checked 2026-07-07",2026-07-07,"Decision maker: Founder (Lolo); Contact: info@sweatrecordsmiami.com. Independent record store founded 2005 by Lolo Reskin, next to Churchill's Pub. Celebrated 20th anniversary in March 2025 (WLRN, Axios, Miami New Times coverage) -- clearly still active and thriving, no closure signals found; owner has discussed hoping to move to a bigger space in the future but no relocation confirmed yet."
books-and-books-coral-gables,import,Books & Books,Books & Books - Coral Gables,265 Aragon Ave,Coral Gables,FL,33134,Coral Gables,25.7506451,-80.2600624,,,Shelf Discovery,Miami's iconic independent bookstore has anchored Coral Gables since 1982. Algorithms recommend what you already like — these shelves recommend what you didn't know existed.,culture,medium,150,75,10–15 min,Wander the flagship's shelves and find one book you'd never have discovered online. Photograph the cover where you found it.,Read your find's first sentence out loud to whoever came with you.,,https://www.booksandbooks.com/,https://www.google.com/search?q=Books+%26+Books+265+Aragon+Ave+Coral+Gables+reviews,https://www.instagram.com/booksandbooks/,events@booksandbooks.com,active,verified,"Official site booksandbooks.com + Yelp/Apple Maps listing, checked 2026-07-07",2026-07-07,"Decision maker: Events Coordinator; Contact: events@booksandbooks.com. Iconic independently-owned Miami-area bookstore chain founded 1982; Coral Gables flagship confirmed active, Yelp updated June 2026."
rosetta-bakery-south-beach,import,Rosetta Bakery,Rosetta Bakery - South Beach,1666 Collins Ave,Miami Beach,FL,33139,South Beach,25.7914055,-80.1300535,,,La Dolce Collins,"An Italian bakery holding its corner of Collins Avenue since 2015, steps from Lincoln Road. The pastry case is the exhibit; admission is free.",food,easy,50,25,5–10 min,Study the pastry counter and photograph the most Italian thing in the case.,Whisper 'che bello' at the pastry case like you truly mean it.,,https://www.rosettabakery.com/,https://www.google.com/search?q=Rosetta+Bakery+1666+Collins+Ave+Miami+Beach+reviews,https://www.instagram.com/rosettabakery/,info@rosettabakery.com,active,verified,"Official site rosettabakery.com + Yelp listing, checked 2026-07-07",2026-07-07,"Decision maker: Store Manager; Contact: info@rosettabakery.com. City corrected from generic 'Miami' to 'Miami Beach' since South Beach is part of the separate municipality of Miami Beach. Italian bakery chain (est. 2015) with multiple South Beach locations (1666 Collins Ave and 929 Collins Ave both currently listed); picked 1666 Collins Ave (Lincoln Road-area) as primary since it's the one most associated with 'South Beach' proper on the official site's store list. Yelp updated June 2026, confirmed active."
under-the-mango-tree-sofi,import,Under the Mango Tree,Under the Mango Tree,737 5th St,Miami Beach,FL,33139,South Beach (South of Fifth),25.7747548,-80.1358438,,,Mango State of Mind,"A little South of Fifth spot with a name that promises shade, sweetness, and no hurry whatsoever. Slow down to South Beach walking pace and find out what the name means to you.",food,easy,50,25,5–10 min,Find Under the Mango Tree just off Fifth Street and photograph whatever you think earned it the name.,Point at your photo subject and declare 'that's the mango tree' with total confidence.,,https://www.mangotreemiami.com/,https://www.google.com/maps/search/?api=1&query=Under+the+Mango+Tree+737+5th+St+Miami+Beach+FL,https://www.instagram.com/underthemangotreemiami/,hello@mangotreemiami.com,active,verified,"Yelp (updated Jun 2026) + Apple Maps + business website + Instagram, checked 2026-07-07",2026-07-07,"Decision maker: Founder; Contact: hello@mangotreemiami.com. Input Instagram handle @underthemangotree_sb could not be confirmed; active handle found is @underthemangotreemiami. A Foursquare listing shows a stale 'Now Closed' tag, but Yelp (updated Jun 2026), Tripadvisor, and HappyCow all show current, active listings."
dasher-and-crank-wynwood,import,Dasher & Crank,Dasher & Crank,2211 NW 2nd Ave,Miami,FL,33127,Wynwood,25.7982083,-80.1990834,,,The Dasher & Crank Riddle,The name is a riddle: what do a 'dasher' and a 'crank' have in common? Walk into this Wynwood shop and the answer becomes deliciously obvious.,food,easy,50,25,5–10 min,Find Dasher & Crank on NW 2nd Ave and solve the name — the menu board is a good place to start. Photograph your evidence.,"Guess the answer out loud before you walk in, then grade yourself at the counter.",,https://dasherandcrank.com/,https://www.google.com/maps/search/?api=1&query=Dasher+%26+Crank+2211+NW+2nd+Ave+Miami+FL,https://www.instagram.com/dashercrank/,info@dasherandcrank.com,active,verified,"Yelp + official site + Instagram search, checked 2026-07-07",2026-07-07,Decision maker: Founder; Contact: info@dasherandcrank.com. Input Instagram handle @dasherandcrank not found; active handle is @dashercrank (~5K followers).
midorie-coconut-grove,import,Midorie Miami,Midorie Miami,3444 Main Hwy,Miami,FL,33133,Coconut Grove,25.727493,-80.243396,,,Lost in the Grove,'Midori' is Japanese for green — and this Main Highway spot sits in Miami's greenest neighborhood. Step inside and decide for yourself whether the name fits.,hidden_gem,easy,50,25,5–10 min,Find Midorie on Coconut Grove's Main Highway and photograph the greenest corner you can find.,Give your photo an art-gallery title and announce it out loud.,,https://www.midoriemiami.com/,https://www.google.com/maps/search/?api=1&query=Midorie+Miami+3444+Main+Hwy+Miami+FL,https://www.instagram.com/midorie_miami/,hello@midoriemiami.com,active,verified,"Yelp + official site + Instagram search, checked 2026-07-07",2026-07-07,"Decision maker: Owner; Contact: hello@midoriemiami.com. Input neighborhood 'Coconut Grove / Edge' normalized to Coconut Grove, matching the flagship Main Highway location. Input Instagram handle @midoriemiami not found exactly; active handle is @midorie_miami (with underscore). A second Midorie location also exists at 851 NE 79th St (Upper East Side)."
the-corner-downtown,import,The Corner,The Corner,1035 N Miami Ave #101,Miami,FL,33136,Downtown Miami / Park West,25.784656,-80.193897,,,Meet Me at The Corner,A Park West bar that's exactly what it says on the sign. Downtown's night crowd has been meeting at this corner of N Miami Ave for years — now it's your turn.,nightlife,medium,150,75,10–15 min,"Post up at The Corner and capture proof you found it — the sign, the room, or your spot at the bar.",Raise whatever you're holding and toast 'to the Corner.' Water counts.,,https://www.thecornermiami.com/,https://www.google.com/maps/search/?api=1&query=The+Corner+1035+N+Miami+Ave+Miami+FL,https://www.instagram.com/thecornermiami/,info@thecornermiami.com,active,verified,"Yelp (updated Jun 2026) + official site + Instagram, checked 2026-07-07",2026-07-07,Decision maker: Bar Manager; Contact: info@thecornermiami.com. Shares its building/address (1035 N Miami Ave) with the now-closed All Day cafe (rank 17) — the two were run by the same ownership group as day/night concepts in the same space.
