quest_slug,quest_id,asset_type,target_field,status,spec,recommended_source
panther-coffee-wynwood,1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://panthercoffee.com/ | https://www.instagram.com/panthercoffee/
panther-coffee-wynwood,1194aef9-bc2f-5cc8-bbd9-e0c7a9e3e067,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://panthercoffee.com/ | https://www.instagram.com/panthercoffee/
vice-city-bean-edgewater,966b0064-6c61-58b2-8e49-73807184982d,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://vicecitybean.com/ | https://www.instagram.com/vicecitybean/
vice-city-bean-edgewater,966b0064-6c61-58b2-8e49-73807184982d,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://vicecitybean.com/ | https://www.instagram.com/vicecitybean/
salty-donut-wynwood,21902b20-b34e-5308-9fdb-7868829a3497,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.saltydonut.com/locations/wynwood | https://www.instagram.com/thesaltydonut/
salty-donut-wynwood,21902b20-b34e-5308-9fdb-7868829a3497,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.saltydonut.com/locations/wynwood | https://www.instagram.com/thesaltydonut/
threefold-cafe-coral-gables,75761f77-6be2-5a33-b815-582044bc20c8,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.threefoldcafe.com/ | https://www.instagram.com/threefoldcafe/
threefold-cafe-coral-gables,75761f77-6be2-5a33-b815-582044bc20c8,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.threefoldcafe.com/ | https://www.instagram.com/threefoldcafe/
imperial-moto-little-river,8126cef6-7957-58f4-8dc1-c1cf747fcc8e,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.imperialmoto.com/ | https://www.instagram.com/imperialmoto/
imperial-moto-little-river,8126cef6-7957-58f4-8dc1-c1cf747fcc8e,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.imperialmoto.com/ | https://www.instagram.com/imperialmoto/
brewing-buddha-pinecrest,8e77ef26-b4ac-574b-9b46-06a276d7577e,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.brewingbuddha.com/ | https://www.instagram.com/brewingbuddha/
brewing-buddha-pinecrest,8e77ef26-b4ac-574b-9b46-06a276d7577e,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.brewingbuddha.com/ | https://www.instagram.com/brewingbuddha/
sweat-records-little-haiti,8569454a-0457-5805-8b85-997b42155ed2,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.sweatrecordsmiami.com/ | https://www.instagram.com/sweatrecords/
sweat-records-little-haiti,8569454a-0457-5805-8b85-997b42155ed2,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.sweatrecordsmiami.com/ | https://www.instagram.com/sweatrecords/
books-and-books-coral-gables,7dd057e2-0f2d-5315-8ec9-57bb715c0773,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.booksandbooks.com/ | https://www.instagram.com/booksandbooks/
books-and-books-coral-gables,7dd057e2-0f2d-5315-8ec9-57bb715c0773,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.booksandbooks.com/ | https://www.instagram.com/booksandbooks/
rosetta-bakery-south-beach,3cef83c3-7d8d-5f7b-b122-7af4a8e08b6f,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.rosettabakery.com/ | https://www.instagram.com/rosettabakery/
rosetta-bakery-south-beach,3cef83c3-7d8d-5f7b-b122-7af4a8e08b6f,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.rosettabakery.com/ | https://www.instagram.com/rosettabakery/
under-the-mango-tree-sofi,f8a566ab-ff32-5de0-ad1a-7230416f3f8b,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.mangotreemiami.com/ | https://www.instagram.com/underthemangotreemiami/
under-the-mango-tree-sofi,f8a566ab-ff32-5de0-ad1a-7230416f3f8b,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.mangotreemiami.com/ | https://www.instagram.com/underthemangotreemiami/
dasher-and-crank-wynwood,46d7501e-7aca-586d-a099-b8af0607d8e0,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://dasherandcrank.com/ | https://www.instagram.com/dashercrank/
dasher-and-crank-wynwood,46d7501e-7aca-586d-a099-b8af0607d8e0,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://dasherandcrank.com/ | https://www.instagram.com/dashercrank/
midorie-coconut-grove,f83fafee-9d6f-5c55-99f2-cf2df2fa9c51,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.midoriemiami.com/ | https://www.instagram.com/midorie_miami/
midorie-coconut-grove,f83fafee-9d6f-5c55-99f2-cf2df2fa9c51,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.midoriemiami.com/ | https://www.instagram.com/midorie_miami/
the-corner-downtown,bf8555e0-2c49-5b14-bba9-362bd12273e8,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.thecornermiami.com/ | https://www.instagram.com/thecornermiami/
the-corner-downtown,bf8555e0-2c49-5b14-bba9-362bd12273e8,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.thecornermiami.com/ | https://www.instagram.com/thecornermiami/
miam-cafe-wynwood,aecdaf4a-c974-5246-86d4-0bb90b1de150,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.miamcafe.com/ | https://www.instagram.com/miam.cafe/
miam-cafe-wynwood,aecdaf4a-c974-5246-86d4-0bb90b1de150,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.miamcafe.com/ | https://www.instagram.com/miam.cafe/
el-carajo-coral-way,fb12d6c3-465f-5130-9aa9-d06d87e2a182,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://el-carajo.com/ | https://www.instagram.com/theelcarajo/
el-carajo-coral-way,fb12d6c3-465f-5130-9aa9-d06d87e2a182,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://el-carajo.com/ | https://www.instagram.com/theelcarajo/
pasion-del-cielo-brickell,35d5c752-ef36-5b64-a47c-b5f49a66a340,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.pasiondelcielo.com/ | https://www.instagram.com/pasiondelcielocoffee/
pasion-del-cielo-brickell,35d5c752-ef36-5b64-a47c-b5f49a66a340,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.pasiondelcielo.com/ | https://www.instagram.com/pasiondelcielocoffee/
wynwood-walls,2ef644f5-f352-5856-a454-47070ed877f8,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://thewynwoodwalls.com/ | https://www.instagram.com/wynwoodwallsofficial/
wynwood-walls,2ef644f5-f352-5856-a454-47070ed877f8,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://thewynwoodwalls.com/ | https://www.instagram.com/wynwoodwallsofficial/
perez-art-museum-miami,b66e6390-cdbf-5b91-a613-def6cb716e0d,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://www.pamm.org/ | https://www.instagram.com/pamm/
perez-art-museum-miami,b66e6390-cdbf-5b91-a613-def6cb716e0d,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://www.pamm.org/ | https://www.instagram.com/pamm/
ica-miami,26fad17b-865f-558e-a355-5c025c4ce02a,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://icamiami.org/ | https://www.instagram.com/icamiami/
ica-miami,26fad17b-865f-558e-a355-5c025c4ce02a,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://icamiami.org/ | https://www.instagram.com/icamiami/
bachour-coral-gables,1289e7fc-a10a-5f27-abda-c1e52cc67b09,hero_image,quests.image_url,missing,"authentic venue/experience photo, ≥800px wide, no generic stock",https://antoniobachour.com/ | https://www.instagram.com/bachourmiami/
bachour-coral-gables,1289e7fc-a10a-5f27-abda-c1e52cc67b09,venue_logo,venues.logo_url,missing,square business logo/avatar for the circular profile image over the hero,https://antoniobachour.com/ | https://www.instagram.com/bachourmiami/
